Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
SPA Collinot,"La socialité: étude, enjeux et applications dans les Systèmes Multi-Agents",NA,http://sebastien.picault.free.fr/papiers/jfiadsma98.ps.gz,,1. NO,1. NO,1. NO,1. NO
E Grislin-Le Strugeon,Auto-adaptation dans les Systèmes Multi-Agents: de l'entité autonome au système organisé,2007,https://hal.archives-ouvertes.fr/tel-01988599/document,,1. NO,1. NO,1. NO,1. NO
"S. Braun, C. Bartelt, M. Obermeier, A. Rausch, and B. Vogel-Heuser",Requirements on evolution management of product lines in automationengineering,NA,,,1. NO,1. NO,1. NO,1. NO
"C. Seidl, I. Schaefer, and U. Aßmann,",Integrated management ofvariability in space and time in software families,NA,,,1. NO,1. NO,1. NO,1. NO
"A. Hubaux, T. T. Tun, and P. Heymans,",Separation of Concerns inFeature Diagram Languages: A Systematic Survey,NA,,,1. NO,1. NO,1. NO,1. NO
"T. Berger, R. Rublack, D. Nair, J. M. Atlee, M. Becker, K. Czarnecki,and A. Wasowsk",A Survey of Variability Modeling in Industrial Practice,NA,,,1. NO,1. NO,1. NO,1. NO
"S. Feldmann, C. Legat, and B. Vogel-Heuser",Engineering support inthe machine and plant manufacturing domain through interdisciplinaryproduct lines: An applicability analysis,NA,,,1. NO,1. NO,1. NO,1. NO
I. Schaefer,Variability modelling for model-driven development ofsoftware product lines,NA,,,1. NO,1. NO,1. NO,1. NO
W. J. Stewart,"Probability, Markov Chains, Queues, and Simulation.",NA,,,1. NO,1. NO,1. NO,1. NO
"A. von Rhein, S. Apel, C. K ̈astner, T. Th ̈um, and I. Schaefe",The PLA model: on the combination of product-line analyses,NA,,,1. NO,1. NO,1. NO,1. NO
"P.-Y. Schobbens, P. Heymans, and J.-C. Trigaux",Feature diagrams: A survey and a formal semantics,NA,,,1. NO,1. NO,1. NO,1. NO
"K. Pohl, H. H ̈onninger, R. Achatz, and M. Broy",Model-Based Engineering of Embedded Systems,NA,,,1. NO,1. NO,1. NO,1. NO
"J. Kienzle, W. Al Abed, and J. Klein",Aspect-oriented multi-viewmodeling,NA,https://doi.org/10.1145/1509239.1509252,,1. NO,1. NO,1. NO,1. NO
"O. Haugen, B. Møller-Pedersen, J. Oldevik, G. K. Olsen, and A. Svend-sen",Adding standardized variability to domain specific languages,NA,https://doi.org/10.1109/SPLC.2008.25,,1. NO,1. NO,1. NO,1. NO
C. K ̈astner and S. Apel,Integrating compositional and annotative approaches for product line engineering,NA,,,1. NO,1. NO,1. NO,1. NO
"C. Klein, C. Prehofer, and B. Rumpe,",Feature specification and re-finement with state transition diagrams,NA,,,1. NO,1. NO,1. NO,1. NO
A. Egyed,Instant consistency checking for the uml,NA,https://doi.org/10.1145/1134285.1134339,,1. NO,1. NO,1. NO,1. NO
A. Egyed,Fixing inconsistencies in uml design models,NA,https://doi.org/10.1109/ICSE.2007.38,,1. NO,1. NO,1. NO,1. NO
"R. E. Lopez-Herrejon and A. Egyed,",Towards fixing inconsistencies in models with variability,NA,https://doi.org/10.1145/2110147.2110158,,1. NO,1. NO,1. NO,1. NO
C. Ghezzi and A. M. Sharifloo,Verifying non-functional properties ofsoftware product lines: Towards an efficient approach using parametricmodel checking,NA,,,1. NO,1. NO,1. NO,1. NO
R. Tawhid and D. C. Petriu,Automatic derivation of a product perfor-mance model from a software product line model,NA,,,1. NO,1. NO,1. NO,1. NO
K. Czarnecki and E. Ulrich,"Generative Programming: Methods, Tools,and Applications: Methods, Techniques and Applications",NA,,,1. NO,1. NO,1. NO,1. NO
"I. Galvao and A. Goknil,",Survey of traceability approaches in model-driven engineering,NA,,,1. NO,1. NO,1. NO,1. NO
"B. Vogel-Heuser, J. Folmer, M. Kowal, I. Schaefer, S. Lity, A. Fay,W. Lamersdorf, T. Kehrer, M. Tichy, and B. Beckert,",Selected chal-lenges of software evolution for automated production systems,NA,,,1. NO,1. NO,1. NO,1. NO
"L. Bettini, F. Damiani, and I. Schaefer",Compositional type checkingof delta-oriented software product lines,NA,,,1. NO,1. NO,1. NO,1. NO
"M. Kowal, C. Prehofer, I. Schaefer, and M. Tribastone",Model-based development and performance analysis for evolving manufacturing sys-tems,NA,,,1. NO,1. NO,1. NO,1. NO
"M. Kowal, C. Legat, D. Lorefice, C. Prehofer, I. Schaefer, and B. Vogel-Heuser",Delta Modeling for Variant-rich and Evolving ManufacturingSystems,NA,,,1. NO,1. NO,1. NO,1. NO
"B. Vogel-Heuser, J. Mund, M. Kowal, C. Legat, J. Folmer, S. Teufl,and I. Schaefe",Towards interdisciplinary variability modeling forautomated production systems,NA,,,1. NO,1. NO,1. NO,1. NO
"M. Kowal, I. Schaefer, and M. Tribastone,",Family-Based PerformanceAnalysis of Variant-Rich Software Systems,NA,,,1. NO,1. NO,1. NO,1. NO
"G. Bolch, S. Greiner, H. de Meer, and K. Trivedi",Queueing networksand Markov chains: modeling and performance evaluation with com-puter science applications,NA,,,1. NO,1. NO,1. NO,1. NO
"T. Th ̈um, S. Apel, C. K ̈astner, I. Schaefer, and G. Saake",A Classification and Survey of Analysis Strategies for Software Product Lines,NA,,,1. NO,1. NO,1. NO,1. NO
"M. Kowal, M. Tschaikowski, M. Tribastone, and I. Schaefer",Scaling Size and Parameter Spaces in Variability-aware Software PerformanceModels,NA,,,1. NO,1. NO,1. NO,1. NO
"C. Legat, J. Folmer, and B. Vogel-Heuser",Evolution in industrial plantautomation: A case study,NA,,,1. NO,1. NO,1. NO,1. NO
"A. F. Harmsen, J. Brinkkemper, J. Oei",A language and tool for the engineering of situational methods for information systems development,1994,,,1. NO,1. NO,1. NO,1. NO
"E. Di Nitto, L. Lavazza, M. Schiavoni, E. Tracanella, M. Trombetta",Deriving executable process descriptions from UML,2002,https://doi.org/10.1109/icse.2002.1007964,10.1109/icse.2002.1007964,1. NO,1. NO,1. NO,1. NO
"F. Harmsen, S. Brinkkemper",Design and implementation of a method base management system for a situational CASE environment,1995,https://doi.org/10.1109/apsec.1995.496992,10.1109/apsec.1995.496992,1. NO,1. NO,1. NO,1. NO
M. Pospíšil,Eclipse Process Framework Composer,2009,,,1. NO,1. NO,1. NO,1. NO
Osellus,IRIS,NA,,,1. NO,1. NO,1. NO,1. NO
"V. Seidita, L. Sabatucci, S. Gaglio, R. Caico and M. Cossentino",MetaMeth A Tool For Process Definition And Execution,NA,http://ftp.informatik.rwth-aachen.de/Publications/CEUR-WS/Vol-204/D06.pdf,,1. NO,1. NO,1. NO,1. NO
"D. Karagiannis, H. Kühn",Metamodelling Platforms,2002,https://doi.org/10.1007/3-540-45705-4_19,10.1007/3-540-45705-4_19,1. NO,1. NO,1. NO,1. NO
M. Horridge et al.,Practical Guide To Building OWL Ontologies Using Protege 4 and CO-ODE Tools: 2007,NA,,,1. NO,1. NO,1. NO,1. NO
"R. Conradi, C. Liu",Revised PMLs and PSEEs for Industrial SPI,1997,https://doi.org/10.1007/3-540-69687-3_58,10.1007/3-540-69687-3_58,1. NO,1. NO,1. NO,1. NO
SPEM,Software & Systems Process Engineering Meta-Model Specification. Version 2.0. Final Adopted Specification,NA,,,1. NO,1. NO,1. NO,1. NO
"S. Sutton, L. Osterweil",The design of a next-generation process language,1997,https://doi.org/10.1145/267895.267908,10.1145/267895.267908,1. NO,1. NO,1. NO,1. NO
T. Gruber,Toward principles for the design of ontologies used for knowledge sharing?,1995,https://doi.org/10.1006/ijhc.1995.1081,10.1006/ijhc.1995.1081,1. NO,1. NO,1. NO,1. NO
"Noureddine Kerzazi, Mathieu Lavallée, P. Robillard",A Knowledge-Based Perspective for Software Process Modeling,2013,https://doi.org/10.5277/e-inf130103,10.5277/e-inf130103,1. NO,1. NO,1. NO,1. NO
Noureddine Kerzazi,Conceptual alignment between SPEM-based processes and CMMI,2015,https://doi.org/10.1109/sita.2015.7358391,10.1109/sita.2015.7358391,1. NO,1. NO,1. NO,1. NO
"Noureddine Kerzazi, Mathieu Lavallée",Inquiry on usability of two software process modeling systems using ISO/IEC 9241,2011,https://doi.org/10.1109/ccece.2011.6030560,10.1109/ccece.2011.6030560,1. NO,1. NO,1. NO,1. NO
"Noureddine Kerzazi, P. Robillard",Kanbanize the release engineering process,2013,https://doi.org/10.1109/releng.2013.6607689,10.1109/releng.2013.6607689,1. NO,1. NO,1. NO,1. NO
Noureddine Kerzazi,Localizing Inconsistencies into Software Process Models at a Conceptual Level,2019,https://doi.org/10.1007/978-3-030-16181-1_73,10.1007/978-3-030-16181-1_73,1. NO,1. NO,1. NO,1. NO
"José Eduardo Fernandes, R. Machado",SPEM 2.0 extension for pervasive information systems,2012,,,1. NO,1. NO,1. NO,1. NO
"Ivan Ruiz-Rube, J. Dodero, M. Palomo-Duarte, M. Ruiz, David Gawn",Uses and applications of Software & Systems Process Engineering Meta‐Model process models. A systematic mapping study,2013,https://doi.org/10.1002/smr.1594,10.1002/smr.1594,1. NO,1. NO,1. NO,1. NO
"Ivan Ruiz-Rube, J. Dodero, M. Palomo-Duarte, M. Ruiz, David Gawn",Uses and Applications of SPEM Process Models . A Systematic Mapping Study,2012,,,1. NO,1. NO,1. NO,1. NO
FA Alexio,"Uma abordagem anotativa para gerência de variabilidade em linhas de processos de software: concepção, implementação e avaliação",NA,,,1. NO,1. NO,1. NO,1. NO
Ivan Ruiz-Rube,Un framework para el despliegue y evaluación de procesos software,2014,,,1. NO,1. NO,1. NO,1. NO
"N Kerzazi, D Bouzidi",On the Knowledge Representation Within Software Process Modelling,NA,,,1. NO,1. NO,1. NO,1. NO
I Ruiz-Rube,Ingeniería dirigida por modelos y calidad de software,2014,,,1. NO,1. NO,1. NO,1. NO
"Daniela Lettner, Florian Angerer, Herbert Prähofer, Paul Grünbacher",A case study on software ecosystem characteristics in industrial automation software,2014,https://doi.org/10.1145/2600821.2600826,10.1145/2600821.2600826,1. NO,1. NO,1. NO,1. NO
"Klaus Schmid, Rick Rabiser, Paul Grünbacher",A comparison of decision modeling approaches in product lines,2011,https://doi.org/10.1145/1944892.1944907,10.1145/1944892.1944907,1. NO,1. NO,1. NO,1. NO
"Michael Vierhauser, Gerald Holl, Rick Rabiser, Paul Grunbacher, Martin Lehofer, Uwe Sturmer",A Deployment Infrastructure for Product Line Models and Tools,2011,https://doi.org/10.1109/splc.2011.23,10.1109/splc.2011.23,1. NO,1. NO,1. NO,1. NO
"D. Zowghi, R. Offen",A logical framework for modeling and reasoning about the evolution of requirements,NA,https://doi.org/10.1109/isre.1997.566875,10.1109/isre.1997.566875,1. NO,1. NO,1. NO,1. NO
"Daniela Rabiser, Paul Grünbacher, Herbert Prähofer, Florian Angerer",A prototype-based approach for managing clones in clone-and-own product lines,2016,https://doi.org/10.1145/2934466.2934487,10.1145/2934466.2934487,1. NO,1. NO,1. NO,1. NO
"Rick Rabiser, Paul Grünbacher, Martin Lehofer",A qualitative study on user guidance capabilities in product configuration tools,2012,https://doi.org/10.1145/2351676.2351693,10.1145/2351676.2351693,1. NO,1. NO,1. NO,1. NO
A. Egyed,A scenario-driven approach to traceability,NA,https://doi.org/10.1109/icse.2001.919087,10.1109/icse.2001.919087,1. NO,1. NO,1. NO,1. NO
"T. Berger, S. She, R. Lotufo, A. Wasowski, K. Czarnecki",A Study of Variability Models and Languages in the Systems Software Domain,2013,https://doi.org/10.1109/tse.2013.34,10.1109/tse.2013.34,1. NO,1. NO,1. NO,1. NO
"Gerald Holl, Paul Grünbacher, Rick Rabiser",A systematic review and an expert survey on capabilities supporting multi product lines,2012,https://doi.org/10.1016/j.infsof.2012.02.002,10.1016/j.infsof.2012.02.002,1. NO,1. NO,1. NO,1. NO
"C. Kaestner, K. Ostermann, S. Erdweg",A variability-aware module system,2012,https://doi.org/10.1145/2384616.2384673,10.1145/2384616.2384673,1. NO,1. NO,1. NO,1. NO
OMG,"Abstract syntax tree metamodel (ASTM). Technical report, TCS, IBM and others (2007)",NA,,,1. NO,1. NO,1. NO,1. NO
"G. Fischer, J. Lusiardi, J. Wolff von Gudenberg",Abstract Syntax Trees - and their Role in Model Driven Software Development,2007,https://doi.org/10.1109/icsea.2007.12,10.1109/icsea.2007.12,1. NO,1. NO,1. NO,1. NO
"Michael Vierhauser, Paul Grünbacher, Wolfgang Heider, Gerald Holl, Daniela Lettner",Applying a Consistency Checking Framework for Heterogeneous Models and Artifacts in Industrial Product Lines,2012,https://doi.org/10.1007/978-3-642-33666-9_34,10.1007/978-3-642-33666-9_34,1. NO,1. NO,1. NO,1. NO
"Guillaume Bécan, Nicolas Sannier, Mathieu Acher, Olivier Barais, Arnaud Blouin, Benoit Baudry",Automating the formalization of product comparison matrices,2014,https://doi.org/10.1145/2642937.2643000,10.1145/2642937.2643000,1. NO,1. NO,1. NO,1. NO
"Ø. Haugen, O. Øgård",BVR - Better Variability Results,2014,https://doi.org/10.1007/978-3-319-11743-0_1,10.1007/978-3-319-11743-0_1,1. NO,1. NO,1. NO,1. NO
"Yin, R.K.",Case Study Research,NA,,,1. NO,1. NO,1. NO,1. NO
"Chuan Duan, Jane Cleland-Huang",Clustering support for automated tracing,2007,https://doi.org/10.1145/1321631.1321668,10.1145/1321631.1321668,1. NO,1. NO,1. NO,1. NO
CVL,Common variability language,2012,,,1. NO,1. NO,1. NO,1. NO
"Kwanwoo Lee, Kyo C. Kang, Jaejoon Lee",Concepts and Guidelines of Feature Modeling for Product Line Software Engineering,2002,https://doi.org/10.1007/3-540-46020-9_5,10.1007/3-540-46020-9_5,1. NO,1. NO,1. NO,1. NO
"Florian Angerer, Andreas Grimmer, Herbert Prahofer, Paul Grunbacher",Configuration-Aware Change Impact Analysis (T),2015,https://doi.org/10.1109/ase.2015.58,10.1109/ase.2015.58,1. NO,1. NO,1. NO,1. NO
"Kunming Nie, Tao Yue, Shaukat Ali, Li Zhang, Zhiqiang Fan",Constraints: The Core of Supporting Automated Product Configuration of Cyber-Physical Systems,2013,https://doi.org/10.1007/978-3-642-41533-3_23,10.1007/978-3-642-41533-3_23,1. NO,1. NO,1. NO,1. NO
"Krzysztof Czarnecki, Paul Grünbacher, Rick Rabiser, Klaus Schmid, Andrzej Wąsowski",Cool features and tough decisions,2012,https://doi.org/10.1145/2110147.2110167,10.1145/2110147.2110167,1. NO,1. NO,1. NO,1. NO
"Marco Sinnema, Sybren Deelstra, Jos Nijhuis, Jan Bosch",COVAMOF: A Framework for Modeling Variability in Software Product Families,2004,https://doi.org/10.1007/978-3-540-28630-1_12,10.1007/978-3-540-28630-1_12,1. NO,1. NO,1. NO,1. NO
"Daniela Lettner, Michael Petruzelka, Rick Rabiser, Florian Angerer, Herbert Prähofer, Paul Grünbacher",Custom-developed vs. model-based configuration tools,2013,https://doi.org/10.1145/2499777.2500713,10.1145/2499777.2500713,1. NO,1. NO,1. NO,1. NO
"Ferruccio Damiani, Ina Schaefer, Tim Winkelmann",Delta-oriented multi software product lines,2014,https://doi.org/10.1145/2648511.2648536,10.1145/2648511.2648536,1. NO,1. NO,1. NO,1. NO
"Alexander Reder, Alexander Egyed",Determining the Cause of a Design Model Inconsistency,2013,https://doi.org/10.1109/tse.2013.30,10.1109/tse.2013.30,1. NO,1. NO,1. NO,1. NO
"Kwanwoo Lee, Kyo C. Kang, Eunman Koh, Wonsuk Chae, Bokyoung Kim, Byoung Wook Choi",Domain-Oriented Engineering of Elevator Control Software,2000,https://doi.org/10.1007/978-1-4615-4339-8_1,10.1007/978-1-4615-4339-8_1,1. NO,1. NO,1. NO,1. NO
"Andreas Seibel, Stefan Neumann, Holger Giese",Dynamic hierarchical mega models: comprehensive traceability and its efficient maintenance,2009,https://doi.org/10.1007/s10270-009-0146-z,10.1007/s10270-009-0146-z,1. NO,1. NO,1. NO,1. NO
"Alexander Egyed, Florian Graf, Paul Grunbacher",Effort and Quality of Recovering Requirements-to-Code Traces: Two Exploratory Experiments,2010,https://doi.org/10.1109/re.2010.34,10.1109/re.2010.34,1. NO,1. NO,1. NO,1. NO
"Stefan Fischer, Lukas Linsbauer, Roberto Erick Lopez-Herrejon, Alexander Egyed",Enhancing Clone-and-Own with Systematic Reuse for Developing Software Variants,2014,https://doi.org/10.1109/icsme.2014.61,10.1109/icsme.2014.61,1. NO,1. NO,1. NO,1. NO
"Daniela Lettner, Klaus Eder, Paul Grunbacher, Herbert Prahofer",Feature modeling of two large-scale industrial software systems: Experiences and lessons learned,2015,https://doi.org/10.1109/models.2015.7338270,10.1109/models.2015.7338270,1. NO,1. NO,1. NO,1. NO
Don Batory,"Feature Models, Grammars, and Propositional Formulas",2005,https://doi.org/10.1007/11554844_3,10.1007/11554844_3,1. NO,1. NO,1. NO,1. NO
"Kyo C. Kang, Sholom G. Cohen, James A. Hess, William E. Novak, A. S. Peterson",Feature-Oriented Domain Analysis (FODA) Feasibility Study,1990,https://doi.org/10.21236/ada235785,10.21236/ada235785,1. NO,1. NO,1. NO,1. NO
"Thomas Thüm, Christian Kästner, Fabian Benduhn, Jens Meinicke, Gunter Saake, Thomas Leich",FeatureIDE: An extensible framework for feature-oriented software development,2014,https://doi.org/10.1016/j.scico.2012.06.002,10.1016/j.scico.2012.06.002,1. NO,1. NO,1. NO,1. NO
"Florian Heidenreićh, Jan Kopcsek, Christian Wende",FeatureMapper: Mapping Features to models,2008,https://doi.org/10.1145/1370175.1370199,10.1145/1370175.1370199,1. NO,1. NO,1. NO,1. NO
"Krzysztof Czarnecki, Simon Helsen, Ulrich Eisenecker",Formalizing cardinality-based feature models and their specialization,2005,https://doi.org/10.1002/spip.213,10.1002/spip.213,1. NO,1. NO,1. NO,1. NO
"K. Czarnecki, Ulrich W. Eisenecker","Generative programming - methods, tools and applications",2000,,,1. NO,1. NO,1. NO,1. NO
"Freddy Allilaire, J. Bézivin, H. Brunelière, F. Jouault",Global Model Management in Eclipse GMT/AM3,2006,,,1. NO,1. NO,1. NO,1. NO
"Jane Huffman Hayes, Alex Dekhtyar",Humans in the traceability loop,2005,https://doi.org/10.1145/1107656.1107661,10.1145/1107656.1107661,1. NO,1. NO,1. NO,1. NO
"Florian Angerer, Herbert Prähofer, Daniela Lettner, Andreas Grimmer, Paul Grünbacher",Identifying inactive code in product lines with configuration-aware system dependence graphs,2014,https://doi.org/10.1145/2648511.2648517,10.1145/2648511.2648517,1. NO,1. NO,1. NO,1. NO
"Rosato, D., Rosato, M., Rosato, D.",Injection Molding Handbook,2000,https://doi.org/10.1007/978-1-4615-4597-2,10.1007/978-1-4615-4597-2,1. NO,1. NO,1. NO,1. NO
"Susan Horwitz, Thomas Reps, David Binkley",Interprocedural slicing using dependence graphs,1990,https://doi.org/10.1145/77606.77608,10.1145/77606.77608,1. NO,1. NO,1. NO,1. NO
"Rick Salay, John Mylopoulos, Steve Easterbrook",Managing Models through Macromodeling,2008,https://doi.org/10.1109/ase.2008.70,10.1109/ase.2008.70,1. NO,1. NO,1. NO,1. NO
"Jean Bézivin, Frédéric Jouault, Peter Rosenthal, Patrick Valduriez",Modeling in the Large and Modeling in the Small,2005,https://doi.org/10.1007/11538097_3,10.1007/11538097_3,1. NO,1. NO,1. NO,1. NO
"Hugo Brunelière, Jordi Cabot, Grégoire Dupé, Frédéric Madiot",MoDisco: A model driven reverse engineering framework,2014,https://doi.org/10.1016/j.infsof.2014.04.007,10.1016/j.infsof.2014.04.007,1. NO,1. NO,1. NO,1. NO
"Mark-Oliver Reiser, Matthias Weber",Multi-level feature trees,2007,https://doi.org/10.1007/s00766-007-0046-0,10.1007/s00766-007-0046-0,1. NO,1. NO,1. NO,1. NO
